freq,unit,deg_urb,geo\TIME_PERIOD,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,PC,DEG1,AL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7,7.6,6.8,4.5,3.7,NaN,NaN,NaN
A,PC,DEG1,AT,NaN,11.4,6.7,7.5,8.6,9.9,9.2,11.3,10.0,12.2,12.2,12.2,12.1,12.5,11.3,11.6,12.2,10.7,9.9,12.6,11.3,12.0
A,PC,DEG1,BE,NaN,14.6,10.8,12.4,12.2,13.9,10.3,10.9,13.5,17.0,15.4,15.6,14.3,16.2,15.2,14.6,13.1,11.8,12.4,12.1,11.0,11.1
A,PC,DEG1,BG,NaN,NaN,NaN,15.1,22.9,15.1,6.8,5.3,8.6,11.8,12.6,11.8,13.9,18.8,17.7,16.1,15.6,13.0,10.9,12.7,8.5,6.6
A,PC,DEG1,CH,NaN,NaN,NaN,NaN,NaN,NaN,15.4,15.8,15.5,14.8,14.1,14.1,15.3,15.8,18.3,15.6,18.9,16.4,19.4,16.5,19.9,NaN
A,PC,DEG1,CY,NaN,NaN,7.4,3.5,1.8,2.1,2.6,4.4,3.9,4.9,4.2,5.2,4.7,3.8,3.5,3.1,2.5,2.4,3.5,3.5,3.4,2.6
A,PC,DEG1,CZ,NaN,NaN,11.4,11.4,10.8,13.0,10.7,11.8,12.9,14.7,16.4,14.8,15.6,14.8,13.4,12.9,11.0,10.2,10.1,10.6,13.2,14.1
A,PC,DEG1,DE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2,18.0,19.8,18.9,19.3,19.1,19.6,17.9,17.6,16.2,11.4,12.4,13.1,14.2,13.1
A,PC,DEG1,DK,NaN,NaN,17.4,23.5,18.5,26.0,30.1,27.6,25.3,22.1,24.3,22.0,22.1,22.9,22.4,21.2,21.1,20.3,21.9,22.5,23.3,22.7
A,PC,DEG1,EA,NaN,NaN,NaN,NaN,NaN,10.3,9.7,11.5,12.7,13.2,13.2,13.4,13.6,13.6,12.6,11.9,12.4,10.3,11.0,NaN,NaN,NaN
A,PC,DEG1,EA18,NaN,NaN,11.0,11.3,10.0,10.2,9.7,11.5,12.7,13.2,13.1,13.4,13.6,13.6,12.7,12.0,12.5,10.4,NaN,NaN,NaN,NaN
A,PC,DEG1,EA19,NaN,NaN,11.0,11.3,9.9,10.1,9.6,11.5,12.7,13.2,13.1,13.3,13.6,13.6,12.6,11.9,12.4,10.3,11.0,NaN,NaN,NaN
A,PC,DEG1,EA20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3,13.5,13.5,12.5,11.9,12.3,10.2,11.2,10.9,10.8,10.1
A,PC,DEG1,EE,NaN,NaN,9.9,8.8,7.0,3.6,5.7,7.3,9.0,9.8,8.7,10.3,8.5,6.1,5.9,4.6,5.1,4.9,5.5,5.8,8.0,8.4
A,PC,DEG1,EL,NaN,25.7,25.3,26.1,14.1,25.6,25.2,17.8,27.2,35.9,39.6,49.0,48.8,44.6,43.7,43.9,40.7,37.0,32.4,27.3,31.0,29.1
A,PC,DEG1,ES,NaN,5.7,7.0,8.2,10.1,11.4,11.9,11.1,10.7,11.4,11.6,11.8,11.2,12.1,11.3,10.0,10.4,10.1,11.4,11.0,9.2,8.4
A,PC,DEG1,EU,NaN,NaN,NaN,NaN,NaN,12.3,11.6,12.6,13.2,12.4,12.6,13.4,13.5,13.5,12.6,12.4,12.6,NaN,NaN,NaN,NaN,NaN
A,PC,DEG1,EU27_2007,NaN,NaN,13.2,13.2,12.5,12.3,11.6,12.6,13.3,12.4,12.6,13.4,13.5,13.5,12.6,12.5,12.7,NaN,NaN,NaN,NaN,NaN
A,PC,DEG1,EU27_2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.6,12.5,13.3,13.3,13.2,13.3,13.4,12.4,11.6,11.8,9.9,10.5,10.6,10.6,9.8
A,PC,DEG1,EU28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.6,13.2,12.4,12.6,13.4,13.5,13.5,12.6,12.4,12.6,NaN,NaN,NaN,NaN,NaN
A,PC,DEG1,FI,NaN,5.3,5.2,5.3,6.2,6.3,5.2,5.4,5.4,5.1,6.2,7.3,7.5,5.7,5.6,5.4,5.7,6.3,6.1,7.5,7.8,7.7
A,PC,DEG1,FR,NaN,7.4,7.3,7.9,7.3,6.2,5.6,7.2,7.4,6.9,6.3,7.0,7.5,7.6,7.3,6.3,9.0,8.4,NaN,9.9,9.2,9.4
A,PC,DEG1,HR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8,8.2,6.3,9.7,7.5,5.7,5.4,5.9,4.2,3.9,3.6,3.4,2.6,3.5,3.4
A,PC,DEG1,HU,NaN,NaN,19.2,11.7,10.9,11.9,9.1,10.8,12.6,15.8,12.4,13.2,9.2,8.5,10.9,11.3,6.9,10.1,2.9,7.0,9.6,11.3
A,PC,DEG1,IE,10.3,3.4,3.7,3.3,5.3,5.1,5.9,5.1,8.0,7.0,5.3,8.5,6.6,6.6,6.2,4.5,7.5,7.3,4.8,5.1,5.2,5.8
A,PC,DEG1,IS,NaN,11.3,13.4,14.9,10.3,11.3,10.8,10.9,12.5,10.7,9.3,9.6,9.3,6.9,9.8,10.0,13.7,14.3,NaN,NaN,NaN,NaN
A,PC,DEG1,IT,NaN,14.7,14.7,14.5,8.8,10.0,9.1,9.6,10.8,10.7,11.8,10.5,11.4,12.9,11.7,11.7,11.2,8.9,9.2,8.5,7.9,6.6
A,PC,DEG1,LT,NaN,NaN,9.4,6.3,3.7,3.8,5.5,13.1,13.9,10.7,10.4,9.2,10.1,7.5,5.6,4.1,4.1,1.4,1.6,2.9,5.0,4.2
A,PC,DEG1,LU,4.6,6.3,5.2,6.4,5.7,4.8,4.8,5.1,5.4,7.3,8.6,10.1,8.5,10.4,11.9,18.0,15.5,10.7,7.8,10.4,13.7,9.8
A,PC,DEG1,LV,NaN,NaN,13.3,10.0,11.2,10.0,12.1,12.0,15.3,13.6,12.1,10.0,9.0,8.2,7.0,6.9,4.8,4.8,4.8,5.4,9.4,7.6
A,PC,DEG1,MK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3,11.0,9.8,8.2,6.5,NaN,NaN,NaN,NaN
A,PC,DEG1,MT,NaN,NaN,1.7,1.8,2.6,3.3,2.8,3.7,3.0,2.7,2.5,1.5,1.1,1.4,1.4,1.7,2.6,2.8,2.9,3.0,5.5,4.6
A,PC,DEG1,NL,NaN,NaN,21.3,20.7,19.3,14.5,14.2,14.6,15.7,16.7,18.7,17.7,18.4,13.5,12.2,12.1,12.9,10.7,10.5,12.1,11.7,9.6
A,PC,DEG1,NO,NaN,8.8,4.0,12.0,15.0,13.8,11.8,9.5,10.9,10.7,11.6,NaN,14.8,14.2,13.2,14.9,14.6,13.0,16.6,15.9,19.2,21.0
A,PC,DEG1,PL,NaN,NaN,20.3,14.5,12.4,11.3,9.3,11.5,12.1,12.4,12.1,10.9,9.8,9.5,9.0,8.3,7.9,5.4,6.7,6.4,6.5,5.7
A,PC,DEG1,PT,NaN,4.8,4.6,4.0,7.9,8.3,6.9,5.3,8.3,9.5,9.6,9.7,9.5,8.2,7.9,6.0,7.3,4.8,6.6,5.4,6.2,8.2
A,PC,DEG1,RO,NaN,NaN,NaN,NaN,18.5,18.0,12.8,13.4,9.3,16.9,16.0,13.7,13.8,13.7,9.6,7.0,5.2,5.5,4.7,7.2,7.4,4.3
A,PC,DEG1,RS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.4,28.9,28.4,31.3,30.6,28.0,21.0,18.2,16.0,16.6,15.1,NaN
A,PC,DEG1,SE,NaN,12.3,13.9,11.6,9.8,13.8,14.2,10.8,10.7,9.8,11.2,11.2,11.2,11.3,10.6,10.1,12.4,10.1,10.6,11.0,13.2,13.2
A,PC,DEG1,SI,NaN,NaN,5.1,3.9,6.9,5.0,4.6,5.7,5.8,7.6,8.5,9.9,9.2,9.3,7.2,7.6,7.4,7.1,4.5,6.1,4.6,4.6
A,PC,DEG1,SK,NaN,NaN,13.0,12.2,22.5,5.6,8.1,5.8,8.0,7.7,8.2,10.8,12.1,7.0,7.8,5.6,8.9,3.6,10.1,2.3,5.9,7.4
A,PC,DEG1,UK,NaN,NaN,15.6,16.8,17.2,17.0,17.3,17.8,17.0,7.9,9.3,14.4,14.5,14.0,13.5,16.2,NaN,NaN,NaN,NaN,NaN,NaN
A,PC,DEG2,AL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6,5.4,4.7,4.0,3.5,NaN,NaN,NaN
A,PC,DEG2,AT,NaN,7.5,3.8,3.9,4.2,4.3,4.5,4.5,2.9,6.0,6.2,5.8,5.9,6.5,6.7,5.6,6.0,5.9,5.6,6.3,4.5,4.4
A,PC,DEG2,BE,NaN,10.2,5.7,6.8,7.3,10.0,6.6,6.3,7.0,8.0,7.1,8.2,7.7,7.3,7.4,6.9,6.3,6.2,5.7,6.0,6.2,5.0
A,PC,DEG2,BG,NaN,NaN,NaN,14.0,20.7,15.6,8.4,5.3,9.4,15.2,13.5,11.5,14.6,19.7,19.2,15.6,13.5,14.4,10.7,15.6,12.2,8.9
A,PC,DEG2,CH,NaN,NaN,NaN,NaN,NaN,NaN,11.4,12.1,10.8,11.7,9.6,11.9,11.0,11.6,11.1,12.7,12.8,13.6,13.9,12.3,12.5,NaN
A,PC,DEG2,CY,NaN,NaN,2.7,3.2,1.9,0.3,2.0,1.3,2.2,2.1,2.5,3.2,3.0,2.8,2.5,1.0,2.1,1.0,0.8,1.6,2.2,2.9
A,PC,DEG2,CZ,NaN,NaN,10.3,13.0,11.8,13.1,9.6,8.4,7.5,9.8,11.4,9.7,10.6,9.6,8.0,7.0,7.2,6.4,6.1,6.8,8.8,8.2
A,PC,DEG2,DE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.0,14.5,15.5,16.1,14.9,14.5,14.5,13.4,13.3,12.7,7.8,10.7,11.5,12.7,11.6
A,PC,DEG2,DK,NaN,NaN,12.2,14.6,11.0,13.7,22.4,20.6,15.0,17.6,16.7,15.3,12.7,13.3,15.0,12.5,13.1,11.5,12.9,11.3,11.6,12.0
A,PC,DEG2,EA,NaN,NaN,NaN,NaN,NaN,7.0,6.8,8.4,9.2,10.5,10.8,10.9,11.0,10.4,9.8,9.7,9.1,7.2,8.0,NaN,NaN,NaN
A,PC,DEG2,EA18,NaN,NaN,7.7,8.8,7.5,7.0,6.8,8.4,9.2,10.6,10.8,10.9,11.0,10.4,9.8,9.7,9.1,7.2,NaN,NaN,NaN,NaN
A,PC,DEG2,EA19,NaN,NaN,7.7,8.8,7.4,7.0,6.8,8.4,9.2,10.6,10.8,10.9,11.0,10.4,9.8,9.7,9.1,7.2,8.0,NaN,NaN,NaN
A,PC,DEG2,EA20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9,10.9,10.4,9.7,9.7,9.1,7.1,8.5,8.2,8.3,8.0
A,PC,DEG2,EE,NaN,NaN,13.2,3.2,4.6,7.4,3.8,4.9,8.3,7.9,7.8,8.2,6.1,5.2,4.7,4.7,3.5,3.7,4.4,4.3,8.4,10.3
A,PC,DEG2,EL,NaN,36.4,36.9,25.0,13.7,20.2,17.6,20.7,26.5,31.7,36.8,44.3,48.1,41.7,42.2,41.3,38.9,37.3,31.1,28.4,28.8,29.6
A,PC,DEG2,ES,NaN,4.7,4.1,8.2,8.0,10.8,11.5,10.7,10.8,12.4,10.4,11.7,10.5,9.5,9.8,9.6,9.1,7.5,9.0,8.0,7.7,7.8
A,PC,DEG2,EU,NaN,NaN,NaN,NaN,NaN,8.3,8.0,9.0,10.2,10.5,10.4,10.8,10.7,10.2,9.9,9.8,9.2,NaN,NaN,NaN,NaN,NaN
A,PC,DEG2,EU27_2007,NaN,NaN,8.7,9.7,8.7,8.3,8.0,8.9,10.2,10.5,10.4,10.9,10.8,10.3,9.9,9.8,9.3,NaN,NaN,NaN,NaN,NaN
A,PC,DEG2,EU27_2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6,9.3,11.0,11.0,10.9,10.9,10.3,9.7,9.4,8.8,7.0,7.9,8.1,8.3,7.8
A,PC,DEG2,EU28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0,10.2,10.5,10.4,10.8,10.7,10.2,9.9,9.8,9.2,NaN,NaN,NaN,NaN,NaN
A,PC,DEG2,FI,NaN,4.1,4.0,5.3,5.5,4.3,4.1,5.2,4.7,5.3,4.3,4.3,3.9,4.0,4.1,4.4,3.2,2.9,3.3,4.3,4.1,3.9
A,PC,DEG2,FR,NaN,4.1,3.9,4.5,4.9,2.7,2.7,3.5,3.7,5.0,5.7,4.5,5.4,3.8,4.0,4.5,4.5,4.7,NaN,5.8,6.3,7.5
A,PC,DEG2,HR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.0,6.2,4.2,8.4,7.2,6.1,6.0,5.3,4.8,3.9,3.9,4.5,4.2,3.7,3.9
A,PC,DEG2,HU,NaN,NaN,16.4,9.7,10.0,12.4,9.0,12.4,13.9,14.9,14.8,14.1,9.5,8.9,11.5,7.8,3.4,2.8,2.2,9.8,7.8,7.2
A,PC,DEG2,IE,7.7,2.2,2.9,2.6,2.5,2.9,4.0,6.1,6.6,7.7,4.8,6.6,4.5,4.4,5.3,3.9,5.9,3.9,1.3,4.0,3.9,4.2
A,PC,DEG2,IS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,7.2,5.4,7.1,9.1,9.9,10.8,NaN,NaN,NaN,NaN
A,PC,DEG2,IT,NaN,10.7,11.1,10.8,6.7,7.3,7.3,6.4,7.2,6.4,6.7,6.7,7.7,8.3,6.8,7.2,7.5,6.0,5.9,6.0,5.0,4.7
A,PC,DEG2,LT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4,6.3,5.2,12.5,15.2,8.7,8.3,4.5,4.3,2.5,3.0,3.9,6.9
A,PC,DEG2,LU,2.9,3.3,2.7,3.7,2.9,3.2,2.6,4.8,3.2,4.5,6.0,7.0,7.5,7.7,6.0,7.9,8.9,9.6,4.6,7.9,12.2,8.5
A,PC,DEG2,LV,NaN,NaN,3.1,12.8,3.0,10.9,3.4,9.2,15.3,14.3,15.8,14.3,7.1,7.1,7.5,7.2,5.5,5.5,4.6,5.9,6.8,7.2
A,PC,DEG2,MK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5,11.9,10.0,10.5,9.7,NaN,NaN,NaN,NaN
A,PC,DEG2,MT,NaN,NaN,2.2,1.3,2.0,3.2,3.4,3.7,3.7,2.4,2.3,2.0,1.3,1.4,1.6,1.6,2.8,2.3,2.4,2.9,5.9,7.9
A,PC,DEG2,NL,NaN,NaN,17.6,18.0,16.3,12.0,11.4,13.1,12.7,12.6,13.8,13.7,12.9,7.7,6.1,6.4,6.3,5.3,5.4,7.6,6.5,3.6
A,PC,DEG2,NO,NaN,9.5,5.6,8.2,11.5,10.8,10.8,10.0,9.0,9.2,7.3,NaN,7.8,8.5,8.8,8.9,9.7,9.2,8.9,12.2,14.0,14.0
A,PC,DEG2,PL,NaN,NaN,12.9,8.8,10.2,8.8,7.7,7.2,8.5,10.0,9.6,10.0,8.8,8.3,6.7,6.0,5.8,4.9,5.1,5.1,5.4,4.8
A,PC,DEG2,PT,NaN,4.6,4.4,5.4,8.7,7.4,6.5,3.3,6.8,8.6,8.6,10.3,10.0,7.9,6.4,6.0,4.4,3.7,5.8,5.1,3.7,7.0
A,PC,DEG2,RO,NaN,NaN,NaN,NaN,35.2,23.9,10.8,21.8,5.1,19.4,16.3,13.8,13.9,11.4,10.3,8.7,7.9,7.4,5.7,8.0,8.3,3.7
A,PC,DEG2,RS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.8,30.6,35.3,29.4,34.3,30.3,23.4,19.2,16.4,14.2,16.2,NaN
A,PC,DEG2,SE,NaN,9.8,9.2,9.4,8.7,8.6,10.4,7.7,9.4,9.5,6.8,6.5,7.6,7.8,6.7,7.5,7.7,6.8,6.8,7.5,9.7,9.2
A,PC,DEG2,SI,NaN,NaN,4.7,3.0,4.9,4.3,4.2,4.2,5.3,5.6,6.5,6.3,6.2,5.5,5.3,4.8,3.7,4.0,4.8,4.8,4.9,4.5
A,PC,DEG2,SK,NaN,NaN,16.0,17.7,17.6,6.0,9.1,8.0,8.3,7.8,7.3,8.0,8.6,7.9,9.1,4.9,5.8,4.0,6.8,2.3,6.7,6.0
A,PC,DEG2,UK,NaN,NaN,11.5,14.8,13.3,14.2,12.7,12.5,15.9,6.9,6.5,10.5,9.7,9.5,11.2,13.1,NaN,NaN,NaN,NaN,NaN,NaN
A,PC,DEG3,AL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9,5.1,4.9,3.0,2.8,NaN,NaN,NaN
A,PC,DEG3,AT,NaN,4.4,3.2,3.2,3.1,3.5,3.0,3.3,3.0,3.8,4.3,3.0,2.4,3.8,4.0,4.0,3.6,3.2,3.5,4.2,2.9,3.0
A,PC,DEG3,BE,NaN,13.0,10.6,6.7,10.7,21.1,9.0,9.3,9.1,9.8,7.1,8.5,6.7,7.1,6.9,6.0,6.5,5.4,4.4,4.9,6.7,4.7
A,PC,DEG3,BG,NaN,NaN,NaN,15.8,20.0,11.7,7.1,6.6,8.8,17.5,17.1,15.1,16.2,23.8,20.4,22.0,18.5,16.4,13.3,18.1,14.0,9.3
A,PC,DEG3,CH,NaN,NaN,NaN,NaN,NaN,NaN,9.5,13.1,10.0,9.9,8.8,8.8,9.4,8.4,8.7,8.4,10.3,9.1,9.7,11.1,9.6,NaN
A,PC,DEG3,CY,NaN,NaN,6.6,2.1,1.5,1.8,2.3,1.5,2.2,1.2,2.2,2.3,3.0,2.1,1.4,0.6,1.9,1.4,1.3,0.5,0.7,1.1
A,PC,DEG3,CZ,NaN,NaN,8.5,9.0,9.0,12.4,7.1,8.5,7.7,6.5,8.0,7.6,5.9,5.2,5.4,4.4,3.2,3.6,2.9,4.0,6.0,6.1
A,PC,DEG3,DE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.3,13.6,13.9,13.3,12.7,12.0,12.2,11.0,10.4,12.4,6.8,8.6,10.5,11.3,10.5
A,PC,DEG3,DK,NaN,NaN,11.4,10.5,10.5,11.2,19.4,16.4,14.8,12.3,13.6,10.9,10.9,9.4,9.9,10.7,11.5,9.7,10.5,9.0,10.4,8.6
A,PC,DEG3,EA,NaN,NaN,NaN,NaN,NaN,6.0,6.3,7.2,8.2,8.7,9.0,9.1,8.4,7.8,7.1,6.4,6.9,5.7,5.9,NaN,NaN,NaN
A,PC,DEG3,EA18,NaN,NaN,7.4,7.8,6.2,6.0,6.2,7.2,8.2,8.7,9.0,9.1,8.4,7.8,7.0,6.4,7.0,5.7,NaN,NaN,NaN,NaN
A,PC,DEG3,EA19,NaN,NaN,7.4,7.8,6.4,6.0,6.2,7.2,8.2,8.6,8.9,9.1,8.4,7.8,7.1,6.4,6.9,5.7,5.9,NaN,NaN,NaN
A,PC,DEG3,EA20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1,8.4,7.8,7.0,6.4,6.9,5.7,7.0,6.2,6.5,6.3
A,PC,DEG3,EE,NaN,NaN,6.0,5.1,3.7,3.4,3.2,4.8,5.9,5.8,5.4,6.2,5.2,3.5,3.6,2.7,3.3,3.5,3.2,4.0,6.7,7.9
A,PC,DEG3,EL,NaN,23.9,20.9,23.3,17.8,20.0,19.8,17.7,20.5,30.1,34.4,41.2,39.6,34.6,31.9,31.7,28.3,25.0,22.0,24.2,24.7,27.7
A,PC,DEG3,ES,NaN,3.7,3.2,5.5,5.2,4.6,6.5,6.2,8.1,8.0,7.9,8.7,8.6,6.8,6.9,6.0,4.6,5.1,5.3,4.7,5.6,4.9
A,PC,DEG3,EU,NaN,NaN,NaN,NaN,NaN,9.5,8.8,9.2,9.4,9.4,9.7,9.8,9.1,8.6,7.9,7.5,7.5,NaN,NaN,NaN,NaN,NaN
A,PC,DEG3,EU27_2007,NaN,NaN,10.9,10.5,9.5,9.5,8.8,9.2,9.4,9.4,9.7,9.9,9.1,8.6,7.9,7.5,7.5,NaN,NaN,NaN,NaN,NaN
A,PC,DEG3,EU27_2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7,9.0,9.6,10.0,9.9,9.1,8.5,7.7,7.1,7.0,5.8,7.0,6.6,7.0,6.3
A,PC,DEG3,EU28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2,9.4,9.4,9.7,9.8,9.1,8.6,7.9,7.5,7.5,NaN,NaN,NaN,NaN,NaN
A,PC,DEG3,FI,NaN,3.0,2.5,2.6,3.8,4.0,4.1,3.5,3.9,4.1,3.9,3.6,2.9,3.1,2.8,2.7,2.5,2.5,2.6,3.6,3.5,3.9
A,PC,DEG3,FR,NaN,2.4,2.3,3.5,3.1,2.1,2.2,2.9,2.9,3.0,3.5,2.9,3.4,3.0,2.5,2.4,2.8,3.4,NaN,3.4,3.8,3.9
A,PC,DEG3,HR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.9,8.5,8.1,7.7,7.8,8.6,7.4,6.1,6.0,6.1,5.1,5.5,4.5,4.8,3.7
A,PC,DEG3,HU,NaN,NaN,18.2,13.8,11.3,11.1,8.7,11.0,12.8,13.6,15.5,11.4,7.6,8.9,9.5,9.6,2.4,2.2,2.2,7.4,8.6,7.3
A,PC,DEG3,IE,4.1,1.0,1.6,1.6,1.6,1.8,2.2,4.0,4.0,5.2,3.9,4.5,3.3,3.1,2.7,2.2,2.9,1.9,1.5,2.3,4.7,4.2
A,PC,DEG3,IS,NaN,8.5,10.9,13.1,11.0,11.4,7.1,7.4,9.1,6.0,7.9,5.5,4.8,4.6,5.1,5.3,11.6,11.7,NaN,NaN,NaN,NaN
A,PC,DEG3,IT,NaN,9.7,10.8,9.9,6.2,5.9,5.4,5.8,6.7,5.8,6.4,7.8,6.0,7.0,5.6,5.0,6.9,6.8,6.4,4.7,3.0,3.2
A,PC,DEG3,LT,NaN,NaN,8.7,7.3,5.6,5.9,5.6,8.7,9.1,6.8,6.7,5.5,8.3,7.8,8.3,6.7,5.3,3.3,3.9,4.3,5.9,8.1
A,PC,DEG3,LU,2.3,2.0,2.3,3.2,1.8,2.2,2.9,3.9,3.2,4.5,4.3,5.7,4.2,5.5,6.4,7.6,8.6,5.6,4.3,9.7,9.0,5.9
A,PC,DEG3,LV,NaN,NaN,12.5,11.0,9.0,7.4,7.0,7.9,9.9,8.4,9.8,8.3,7.5,5.6,6.5,6.2,6.1,4.6,5.2,5.2,5.5,5.7
A,PC,DEG3,MK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9,11.9,11.0,11.2,9.3,NaN,NaN,NaN,NaN
A,PC,DEG3,MT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,2.3,0.2,17.6,2.6
A,PC,DEG3,NL,NaN,NaN,27.1,19.1,23.3,18.0,8.8,6.6,6.9,11.4,10.8,13.0,9.7,5.9,5.1,4.6,5.6,5.0,5.3,6.1,5.4,3.3
A,PC,DEG3,NO,NaN,6.7,4.0,9.1,10.6,11.7,9.6,7.9,10.7,8.6,7.5,NaN,6.8,7.4,6.4,8.6,7.5,5.8,7.9,9.0,8.1,10.8
A,PC,DEG3,PL,NaN,NaN,14.1,10.8,9.0,8.6,7.4,7.7,9.1,9.2,9.4,8.5,7.9,6.2,5.0,4.8,4.7,4.4,5.3,5.2,5.7,4.9
A,PC,DEG3,PT,NaN,4.4,3.7,4.0,4.9,6.7,4.0,3.3,5.6,6.1,5.7,7.1,7.3,5.9,5.0,5.1,4.6,3.2,4.5,4.1,3.6,3.9
A,PC,DEG3,RO,NaN,NaN,NaN,NaN,20.2,19.6,17.0,17.1,11.3,19.0,17.8,18.6,18.6,16.4,15.0,13.2,11.3,8.1,10.8,9.8,11.0,5.8
A,PC,DEG3,RS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.3,35.4,37.6,31.9,35.8,35.1,23.8,20.9,17.3,13.6,15.1,NaN
A,PC,DEG3,SE,NaN,8.0,7.9,9.1,7.2,9.0,9.5,6.8,8.8,8.1,8.4,8.1,7.0,6.1,7.4,6.2,6.8,7.6,7.5,8.3,8.2,8.4
A,PC,DEG3,SI,NaN,NaN,4.4,2.6,4.4,4.3,3.4,3.9,3.8,3.9,4.6,5.1,4.9,4.3,4.2,3.7,3.1,3.6,3.4,2.8,2.5,3.0
A,PC,DEG3,SK,NaN,NaN,14.4,17.7,14.9,5.2,10.4,8.4,8.7,9.1,9.1,8.8,7.8,8.0,8.2,2.7,4.0,2.5,5.9,2.8,5.5,6.4
A,PC,DEG3,UK,NaN,NaN,12.2,17.1,14.1,15.5,15.6,16.0,15.1,5.5,5.3,9.3,9.5,10.5,10.7,14.9,NaN,NaN,NaN,NaN,NaN,NaN
